Day,Open,High,Low,Close,Volume,Market Cap
11/09/2023,18.2055,18.3888,17.4114,17.724,5061218012,7347232918
10/09/2023,19.4675,19.4675,17.8583,18.2502,3014623354,7590290795
09/09/2023,19.604,19.6058,19.4346,19.4906,1138215883,8018830190
08/09/2023,19.8882,20.2178,19.4356,19.6113,2380499235,8076020666
07/09/2023,19.6262,19.9867,19.3847,19.8979,1832306090,8039739241
06/09/2023,20.2666,20.3543,19.2432,19.6539,2078530159,8082040393
05/09/2023,19.5053,20.5596,19.0818,20.2923,1648727979,8080161988
04/09/2023,19.5874,19.9365,19.2691,19.5248,1736373823,8011822123
03/09/2023,19.5121,19.6505,19.2674,19.5972,1917587240,7963708308
02/09/2023,19.3221,19.6679,19.1678,19.4779,3698930628,7964504774
01/09/2023,19.7775,19.9175,19.0822,19.3578,3370457296,7999832527
31/08/2023,20.8168,21.0118,19.6031,19.7403,1703280412,8325450884
30/08/2023,21.7736,21.8953,20.6605,20.8594,2449237749,8673292811
29/08/2023,20.5867,21.9595,20.14,21.7362,2496327853,8516992126
28/08/2023,20.7594,20.7594,20.1781,20.5693,2506258269,8344325531
27/08/2023,20.305,20.8883,20.2644,20.8024,1599323893,8383004476
26/08/2023,20.3879,20.4092,20.2102,20.304,2480098727,8275567868
25/08/2023,21.0283,21.0283,20.1642,20.3914,3577012086,8375501547
24/08/2023,21.7127,21.993,20.7633,21.0258,4275046908,8731710045
23/08/2023,20.6303,21.7769,20.4727,21.6717,3982887077,8529101716
22/08/2023,21.2058,21.2499,19.6102,20.5548,4353098779,8469101138
21/08/2023,21.7472,21.7472,20.6395,21.1957,4820974903,8671083879
20/08/2023,21.922,22.0319,21.6457,21.7684,982787376.7,8899475001
19/08/2023,21.3544,22.1726,21.3544,21.9103,1369984040,8839032669
18/08/2023,21.7533,22.1689,21.0836,21.3535,3741184181,8776683244
17/08/2023,22.8625,23.3866,20.2419,21.7041,2905833303,9293089174
16/08/2023,23.9157,23.9773,22.4098,22.8219,3543673495,9446755675
15/08/2023,25.1569,25.2771,23.7452,23.8914,6783618497,9988095844
14/08/2023,24.2157,25.1766,24.1554,25.1574,2152512468,9950552462
13/08/2023,24.9355,24.9396,24.2625,24.2625,1139500125,9979803922
12/08/2023,24.6113,25.1283,24.4077,24.9399,2463600036,9962254089
11/08/2023,24.6665,24.863,24.362,24.588,4742469578,9935709258
10/08/2023,24.3908,24.8183,24.1755,24.6338,1899366209,9892556631
09/08/2023,24.3272,24.9641,24.2074,24.4186,2438467615,9908522924
08/08/2023,23.1166,24.7407,23.0322,24.1992,1975718118,9540115354
07/08/2023,23.5979,23.9575,22.4983,23.0708,2595238198,9365523413
06/08/2023,23.2528,24.0936,23.215,23.5697,3094687774,9567997578
05/08/2023,22.7668,23.2543,22.5185,23.2543,2498644500,9232669500
04/08/2023,22.6926,23.52,22.5195,22.804,2197004093,9283482121
03/08/2023,23.1164,23.3679,22.5753,22.6672,1872179797,9272705060
02/08/2023,24.0608,24.2269,23.0194,23.1638,1813979789,9509868176
01/08/2023,23.7657,23.9843,23.0887,23.9843,3219851633,9505261130
31/07/2023,24.2197,24.7755,23.6461,23.782,2283694732,9819663415
30/07/2023,25.2137,25.2395,23.9858,24.3025,1053664379,10059727742
29/07/2023,24.8291,25.4153,24.8291,25.2325,1298208883,10135946295
28/07/2023,25.095,25.5301,24.597,24.8791,1868510948,10056229045
27/07/2023,25.1691,25.5442,24.7359,25.1358,3269873264,10135798390
